Player,Team,Type,Price,Season
Manoj Bhandage,RCB,AR,0.3,2025
Praveen Dubey,PBKS,AR,0.3,2025
Ajay Mandal,DC,AR,0.3,2025
Prerak Mankad,-,AR,0,2025
Vipraj Nigam,DC,AR,0.5,2025
Vicky Ostwal,-,AR,0,2025
Shivalik Sharma,-,AR,0,2025
Salil Arora,-,BAT,0,2025
Dinesh Bana,-,BAT,0,2025
Guruswamy Ajitesh,-,BAT,0,2025
Narayan Jagadeesan,-,BAT,0,2025
Krishnan Shrijith,MI,BAT,0.3,2025
Michael Pepper,-,BAT,0,2025
Vishnu Solanki,-,BAT,0,2025
KM Asif,-,BOWL,0,2025
Akhil Chaudhary,-,BOWL,0,2025
Himanshu Chauhan,-,BOWL,0,2025
Arpit Guleria,-,BOWL,0,2025
Saranu Nishanth,-,BOWL,0,2025
Kuldip Yadav,-,BOWL,0,2025
Prithvi Raj,-,BOWL,0,2025
Shubham Agarwal,-,BOWL,0,2025
Jasinder Singh,-,BOWL,0,2025
Jasmer Dhankhar,-,BOWL,0,2025
Pulkit Narang,-,BOWL,0,2025
Saumy Pandey,-,BOWL,0,2025
Mohit Rathee,RCB,BOWL,0.3,2025
Himanshu Singh,-,BOWL,0,2025
Towhid Hridoy,-,BAT,0,2025
Mikyle Louis,-,BAT,0,2025
Harry Tector,-,BAT,0,2025
Rassie van der Dussen,-,BAT,0,2025
Will Young,-,BAT,0,2025
Najibullah Zadran,-,BAT,0,2025
Ibrahim Zadran,-,BAT,0,2025
Sean Abbott,-,AR,0,2025
Jacob Bethell,RCB,AR,2.6,2025
Brydon Carse,SRH,AR,1,2025
Aaron Hardie,PBKS,AR,1.25,2025
Sarfaraz Khan,-,AR,0,2025
Kyle Mayers,-,AR,0,2025
Kamindu Mendis,SRH,AR,0.75,2025
Matthew Short,-,AR,0,2025
Jason Behrendorff,-,BOWL,0,2025
Dushmantha Chameera,DC,BOWL,0.75,2025
Nathan Ellis,CSK,BOWL,2,2025
Shamar Joseph,LSG,BOWL,0.75,2025
Josh Little,-,BOWL,0,2025
Shivam Mavi,-,BOWL,0,2025
Jhye Richardson,-,BOWL,0,2025
Navdeep Saini,-,BOWL,0,2025
Tanmay Agarwal,-,BAT,0,2025
Amandeep Khare,-,BAT,0,2025
Ayush Mhatre,-,BAT,0,2025
Salman Nizar,-,BAT,0,2025
Aniket Verma,SRH,BAT,0.3,2025
Sumeet Verma,-,BAT,0,2025
Manan Vohra,-,BAT,0,2025
Samarth Vyas,-,BAT,0,2025
Raj Bawa,MI,AR,0.3,2025
Emanjot Singh Chahal,-,AR,0,2025
Musheer Khan,PBKS,AR,0.3,2025
Manvanth Kumar,DC,AR,0.3,2025
Mayank Rawat,-,AR,0,2025
Suryansh Shedge,PBKS,AR,0.3,2025
Hrithik Shokeen,-,AR,0,2025
Sonu Yadav,-,AR,0,2025
Rithik Easwaran,-,BAT,0,2025
Anmol Malhotra,-,BAT,0,2025
Pradosh Ranjan Paul,-,BAT,0,2025
Karteek Sharma,-,BAT,0,2025
Akash Singh,-,BAT,0,2025
Tejasvi Singh,-,BAT,0,2025
Siddarth Yadav,-,BAT,0,2025
Saurabh Dubey,-,BOWL,0,2025
Aaqib Khan,-,BOWL,0,2025
Kulwant Khejroliya,GT,BOWL,0.3,2025
Ankit Rajpoot,-,BOWL,0,2025
Divesh Sharma,-,BOWL,0,2025
Naman Tiwari,-,BOWL,0,2025
Prince Yadav,LSG,BOWL,0.3,2025
Kunal Singh Chibb,-,BOWL,0,2025
Yuvraj Chudasama,-,BOWL,0,2025
Deepak Devadiga,-,BOWL,0,2025
Ramesh Prasad,-,BOWL,0,2025
Shivam Shukla,-,BOWL,0,2025
Himanshu Singh,-,BOWL,0,2025
Tejpreet Singh,-,BOWL,0,2025
Qais Ahmad,-,AR,0,2025
Charith Asalanka,-,AR,0,2025
Michael Bracewell,-,AR,0,2025
Gudakesh Motie,-,AR,0,2025
Dan Mousley,-,AR,0,2025
